===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,Sample01,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
36,,36,2010-02-24 00:00:00,7.0796427726745605,7.194285869598389,7.065713882446289,7.166429042816162,460566400.0,,Sample01,36,733827.0,Broker,36,99999.90130812646,99999.90130812646,BuySell,36,,7.302200157642364,Trades - Net Profit/Loss,36,,-0.09869187355041503
37,,37,2010-02-25 00:00:00,7.049285888671875,7.244999885559082,7.03178596496582,7.214285850524902,665126000.0,,Sample01,37,733828.0,Broker,37,99929.33795638086,100001.4808148861,BuySell,37,6.926309175491333,,Trades - Net Profit/Loss,37,,
38,,38,2010-02-26 00:00:00,7.2278571128845215,7.327499866485596,7.214285850524902,7.307857036590576,507460800.0,,Sample01,38,733829.0,Broker,38,99929.33795638086,100002.41652674676,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2010-03-01 00:00:00,7.348214149475098,7.482142925262451,7.337500095367432,7.463929176330566,550093600.0,,Sample01,39,733832.0,Broker,39,99929.33795638086,100003.97724814416,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2010-03-02 00:00:00,7.497499942779541,7.529643058776855,7.419285774230957,7.458929061889648,566546400.0,,Sample01,40,733833.0,Broker,40,99929.33795638086,100003.92724699975,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2010-03-03 00:00:00,7.4621429443359375,7.495357036590576,7.42642879486084,7.476070880889893,372052800.0,,Sample01,41,733834.0,Broker,41,99929.33795638086,100004.09866518975,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2010-03-04 00:00:00,7.474286079406738,7.532856941223144,7.451070785522461,7.525356769561768,366041200.0,,Sample01,42,733835.0,Broker,42,99929.33795638086,100004.59152407647,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2010-03-05 00:00:00,7.67642879486084,7.846428871154785,7.6653571128845215,7.819643020629883,899620400.0,,Sample01,43,733836.0,Broker,43,99929.33795638086,100007.53438658715,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2010-03-08 00:00:00,7.857500076293945,7.86035680770874,7.794642925262451,7.824285984039307,429889600.0,,Sample01,44,733839.0,Broker,44,99929.33795638086,100007.58081622125,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2010-03-09 00:00:00,7.796785831451416,8.035714149475098,7.78178596496582,7.965000152587891,920259200.0,,Sample01,45,733840.0,Broker,45,99929.33795638086,100008.98795790673,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2010-03-10 00:00:00,7.993928909301758,8.052857398986816,7.971428871154785,8.029999732971191,596218000.0,,Sample01,46,733841.0,Broker,46,99929.33795638086,100009.63795371057,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2010-03-11 00:00:00,7.996786117553711,8.053570747375488,7.975714206695557,8.053570747375488,405700400.0,,Sample01,47,733842.0,Broker,47,99929.33795638086,100009.87366385461,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2010-03-12 00:00:00,8.120356559753418,8.133213996887207,8.0625,8.092857360839844,416323600.0,,Sample01,48,733843.0,Broker,48,99929.33795638086,100010.26652998925,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2010-03-15 00:00:00,8.049285888671875,8.053570747375488,7.8660712242126465,7.994286060333252,493502800.0,,Sample01,49,733846.0,Broker,49,99929.33795638086,100009.28081698419,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2010-03-16 00:00:00,8.006428718566895,8.03499984741211,7.946785926818848,8.016071319580078,446908000.0,,Sample01,50,733847.0,Broker,50,99929.33795638086,100009.49866957666,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2010-03-17 00:00:00,8.032142639160156,8.087499618530273,7.973928928375244,8.00428581237793,450956800.0,,Sample01,51,733848.0,Broker,51,99929.33795638086,100009.38081450464,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2010-03-18 00:00:00,8.003570556640625,8.035714149475098,7.950356960296631,8.023214340209961,342109600.0,,Sample01,52,733849.0,Broker,52,99929.33795638086,100009.57009978296,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2010-03-19 00:00:00,8.028214454650879,8.044285774230957,7.901071071624756,7.9375,559445600.0,,Sample01,53,733850.0,Broker,53,99929.33795638086,100008.71295638086,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2010-03-22 00:00:00,7.873929023742676,8.071429252624512,7.862500190734863,8.026785850524902,456419600.0,,Sample01,54,733853.0,Broker,54,99929.33795638086,100009.6058148861,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2010-03-23 00:00:00,8.058570861816406,8.170714378356934,8.003570556640625,8.15571403503418,602431200.0,,Sample01,55,733854.0,Broker,55,99929.33795638086,100010.8950967312,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2010-03-24 00:00:00,8.130000114440918,8.221428871154785,8.125356674194336,8.19178581237793,597780400.0,,Sample01,56,733855.0,Broker,56,99929.33795638086,100011.25581450464,BuySell,56,,,Trades - Net Profit/Loss,56,,
